Team,Player  ,Pos. ,KI  ,MK  ,HB  ,GL  ,BH  ,HO  ,TK  ,FF  ,FA  ,FANTASY_POINTS
COLL,"Noble, John",DEF,11.81818182,5.181818182,6.772727273,0.090909091,0,0,2.590909091,1.045454545,0.636363636,
COLL,"Adams, Taylor",MID,8.863636364,2.090909091,8.5,0.090909091,0.090909091,0,3.545454545,1.363636364,0.727272727,
COLL,"Grundy, Brodie",RUC,8.409090909,3.272727273,8.954545455,0.545454545,0.272727273,29.40909091,3.818181818,1.409090909,1.954545455,
COLL,"Quaynor, Isaac",DEF,10.04545455,4.318181818,6.363636364,0.045454545,0.090909091,0,2.045454545,0.818181818,0.590909091,
COLL,"Daicos, Josh",MID,7.863636364,2.181818182,6.772727273,0.409090909,0.409090909,0,2.409090909,0.863636364,0.636363636,
COLL,"Hoskin-Elliott, Will",FWD,9.681818182,5.636363636,4.590909091,0.590909091,0.090909091,0,2.045454545,0.272727273,0.636363636,
COLL,"Madgen, Jack",DEF,7.227272727,4,6.590909091,0.045454545,0.090909091,0,0.863636364,0.454545455,0.272727273,
COLL,"Roughead, Jordan",DEF,8.636363636,6.227272727,3.954545455,0,0,0.409090909,1.590909091,0.545454545,0.636363636,
COLL,"Mihocek, Brody",FWD,8.090909091,5.590909091,2.272727273,1.545454545,1.545454545,0,1.590909091,0.727272727,0.863636364,
COLL,"Moore, Darcy",DEF,6.954545455,4.863636364,3.090909091,0.181818182,0.045454545,0,0.545454545,0.409090909,0.727272727,
COLL,"Cameron, Darcy",RUC,6.681818182,4.5,3.272727273,1,0.409090909,5.5,1.454545455,0.909090909,0.681818182,
COLL,"Elliott, Jamie",FWD,5.772727273,2.772727273,3.318181818,1.136363636,0.363636364,0,1.454545455,0.454545455,0.681818182,
COLL,"Brown, Callum",MID,3,1.863636364,4.863636364,0.136363636,0.272727273,0,2,0.363636364,0.227272727,
COLL,"Poulter, Caleb",MID,4.863636364,2.5,2.636363636,0.090909091,0.227272727,0,1,0.409090909,0.272727273,
COLL,"Bianco, Trent",MID,4.545454545,2.409090909,2.136363636,0.318181818,0.227272727,0,0.954545455,0.227272727,0.181818182,
COLL,"Murphy, Nathan",MID,4,2.272727273,2.545454545,0.045454545,0.136363636,0,0.727272727,0.727272727,0.272727273,
COLL,"Howe, Jeremy",DEF,4.454545455,2.090909091,1.863636364,0.045454545,0,0,0.863636364,0.272727273,0.227272727,
COLL,"Macrae, Finlay",MID,2.045454545,1.181818182,3.136363636,0.045454545,0,0,0.409090909,0.090909091,0.136363636,
COLL,"Ruscoe, Trey",DEF,3.318181818,1.227272727,1.5,0.090909091,0,0,0.681818182,0.136363636,0.318181818,
COLL,"Brown, Tyler",MID,1.590909091,0.636363636,2.727272727,0,0,0,0.5,0.045454545,0.181818182,
COLL,"Henry, Oliver",FWD,2.772727273,2,1.363636364,0.318181818,0.363636364,0,0.409090909,0.181818182,0.045454545,
COLL,"Sier, Brayden",MID,1.454545455,0.727272727,2.454545455,0.045454545,0,0,0.863636364,0.136363636,0,
ESSE,"Merrett, Zach",MID,16.40909091,4.409090909,16.54545455,0.181818182,0.318181818,0,5.090909091,1.863636364,1.181818182,
ESSE,"Parish, Darcy",MID,15.5,4.363636364,16.36363636,0.454545455,0.363636364,0,4.090909091,0.590909091,0.454545455,
ESSE,"Hind, Nick",DEF,16.59090909,5.181818182,5.772727273,0.181818182,0.090909091,0,2.045454545,0.863636364,0.863636364,
ESSE,"Heppell, Dyson",DEF,12.54545455,6,8.818181818,0.090909091,0.045454545,0,2.136363636,0.681818182,0.545454545,
ESSE,"Ridley, Jordan",DEF,15.45454545,5.954545455,5.636363636,0,0,0,1.318181818,0.727272727,0.590909091,
ESSE,"Redman, Mason",DEF,11.13636364,4.590909091,6.454545455,0.272727273,0.090909091,0,2,0.5,0.772727273,
ESSE,"Langford, Kyle",FWD,9.181818182,4.454545455,6.909090909,0.590909091,0.136363636,0.090909091,2.590909091,0.5,0.818181818,
ESSE,"Snelling, Will",FWD,7.045454545,3.363636364,9.045454545,0.545454545,0.318181818,0,4.5,0.954545455,0.409090909,
ESSE,"McGrath, Andrew",MID,7.772727273,1.954545455,7.590909091,0.090909091,0.181818182,0,3,0.772727273,0.5,
ESSE,"Laverde, Jayden",DEF,9.181818182,6.090909091,5.272727273,0.045454545,0,0,1.590909091,0.772727273,1.136363636,
ESSE,"Stringer, Jake",FWD,9.545454545,2.5,4.636363636,1.863636364,0.818181818,0,3.454545455,1.363636364,1.045454545,
ESSE,"Smith, Devon",FWD,7.045454545,3.090909091,5.818181818,0.727272727,0.863636364,0,3.545454545,0.5,1.045454545,
ESSE,"Cox, Nik",MID,6.909090909,3.681818182,4.863636364,0.409090909,0.409090909,0.545454545,2.136363636,0.727272727,1.045454545,
ESSE,"Wright, Peter",FWD,6.636363636,4.090909091,4.545454545,1.318181818,0.636363636,9.454545455,1.681818182,1.409090909,1.045454545,
ESSE,"Perkins, Archie",FWD,5.272727273,2.636363636,5.545454545,0.409090909,0.636363636,0,1.909090909,0.590909091,0.590909091,
ESSE,"Guelfi, Matt",MID,5.636363636,3.363636364,5.090909091,0.272727273,0.181818182,0,2.454545455,0.5,0.863636364,
