Playerÿÿ,Games,Kicks,Marks,Handball,Goal,Behind,Hit-Out,Tackles,FreeFor,FreeAgainst,FantasyPoints
"Hanrahan, Oliver",13,71,31,70,8,6,,13,7,4,
"Nash, Conor",8,51,26,59,2,1,,23,3,10,
"Day, Will",5,55,25,44,,,,8,5,7,
"Brockman, Tyler",11,52,27,46,10,4,,23,2,6,
"Greaves, Damon",7,48,16,26,1,,,12,6,2,
"Newcombe, Jai",7,32,17,30,1,1,,39,4,8,
"Hartley, Michael",3,39,14,17,1,1,,5,1,3,
"Reeves, Ned",5,19,8,29,1,,131,20,5,5,
"Grainger-Barras, Denver",5,25,17,12,,,,11,3,2,
"Jeka, Emerson",4,13,7,13,2,2,,4,1,,
"Maginness, Finn",2,5,1,10,,,,5,1,1,
"Downie, Connor",2,6,2,6,,,,,,,
"Gunston, Jack",1,6,1,1,,,,2,,,
"Morris, Josh",5,4,1,2,,1,,5,3,,
,,4654,2053,3688,239,145,797,1327,406,408,
,,,,,,,,,,,
,,,,,,,,,,,
Playerÿÿ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,FFÿÿ,FAÿÿ,
"Oliver, Clayton",25,358,89,431,11,18,,136,43,46,
"Petracca, Christian",25,409,126,321,29,19,,103,23,29,
"Salem, Christian",24,405,145,203,3,2,,58,14,18,
"Langdon, Ed",24,315,130,209,13,9,,45,15,8,
"Gawn, Max",25,316,131,147,16,17,804,71,33,34,
"Brayshaw, Angus",25,274,105,186,3,7,,61,12,19,
"Neal-Bullen, Alex",25,255,80,153,15,11,,111,30,19,
"May, Steven",23,339,125,61,,2,,24,14,17,
"Lever, Jake",25,242,136,147,,1,,44,23,23,
"Rivers, Trent",25,241,101,137,1,1,,39,7,14,
"Harmes, James",18,152,52,222,7,10,,94,20,24,
"Jordon, James",25,178,64,185,6,6,,97,18,9,
"Viney, Jack",15,162,37,173,4,7,,106,30,18,
"McDonald, Tom",23,217,122,105,33,22,30,51,22,26,
"Jackson, Luke",24,107,72,201,16,9,255,48,24,11,
"Pickett, Kysaiah",25,193,59,103,40,28,,87,20,21,
"Spargo, Charlie",25,195,84,92,18,16,,59,26,16,
"Hunt, Jayden",20,179,64,95,2,3,,49,16,19,
"Fritsch, Bayley",24,190,116,54,59,24,,47,18,21,
"Hibberd, Michael",17,127,58,100,,,,35,16,10,
"Sparrow, Tom",21,102,40,84,7,4,,57,13,15,
"Petty, Harry",19,107,68,54,,,,31,11,17,
"Brown, Ben",13,102,69,24,25,13,13,20,11,6,
"Bowey, Jake",7,61,23,58,,,,5,1,7,
"Melksham, Jake",12,58,25,49,8,4,,18,3,10,
"Jones, Nathan",8,50,23,45,2,3,,12,3,4,
"Tomlinson, Adam",5,61,38,23,,,,9,2,6,
"Jetta, Neville",5,20,13,20,,,,7,4,2,
"Weideman, Sam",5,19,16,21,3,4,1,9,3,1,
"Vandenberg, Aaron",4,18,3,9,,,,8,,4,
"Smith, Joel",3,11,9,9,,,,4,1,2,
"Baker, Oskar",3,12,5,3,,,,4,,,
"Brown, Mitch",1,8,6,2,2,2,,3,1,1,
"Chandler, Kade",5,1,,3,,,,2,,2,
