Andy Moniz-Wakefield,MEL,MID,0,607
Angus Sheldrick,SYD,MID,0,608
Arlo Draper,COL,MID,0,609
Arthur Jones,WBD,DEF/FWD,0,610
Ashley Johnson,COL,FWD,0,611
Bailey Laurie,MEL,MID/FWD,0,612
Barry O'Connor,SYD,DEF,0,613
Ben Hobbs,ESS,MID,0,614
Ben Paton,STK,DEF,0,615
Bigoa Nyuon,RIC,DEF,0,616
Blake Coleman,BRL,FWD,0,617
Blake Howes,MEL,MID/FWD,0,618
Bodhi Uwland,GCS,DEF/MID,0,619
Brady Hough,WCE,MID,0,620
Braydon Preuss,GWS,RUC,0,621
Caleb Marchbank,CAR,DEF,0,622
Callum Jamieson,WCE,RUC,0,623
Cam Rayner,BRL,FWD,0,624
Cameron Ellis-Yolmen,BRL,MID,0,625
Cameron Fleeton,GWS,DEF,0,626
Campbell Chesser,WCE,DEF/MID,0,627
Carter Michael,BRL,DEF,0,628
Charlie Dean,COL,DEF,0,629
Charlie Parker,WBD,MID/FWD,0,630
Cian McBride,ESS,RUC/FWD,0,631
Cody Brand,ESS,DEF,0,632
